id,name,original_name,cast_time,recast_time,is_player_ability,category_raw
44,Vengeance,Vengeance,0.0,120.0,true,4
45,Storm's Eye,Storm's Eye,0.0,2.5,true,3
46,Tomahawk,Tomahawk,0.0,2.5,true,3
47,Butcher's Block,Butcher's Block,0.0,2.5,false,3
48,Defiance,Defiance,0.0,2.0,true,4
49,Inner Beast,Inner Beast,0.0,2.5,true,3
50,Unchained,Unchained,0.0,90.0,false,4
51,Steel Cyclone,Steel Cyclone,0.0,2.5,true,3
52,Infuriate,Infuriate,0.0,60.0,true,4
53,Bootshine,Bootshine,0.0,2.5,true,3
54,True Strike,True Strike,0.0,2.5,true,3
55,Featherfoot,Featherfoot,0.0,90.0,false,4
56,Snap Punch,Snap Punch,0.0,2.5,true,3
57,Second Wind,Second Wind,0.0,120.0,false,4
58,Haymaker,Haymaker,0.0,2.5,false,3
59,Internal Release,Internal Release,0.0,60.0,false,4
60,Fists of Earth,Fists of Earth,0.0,3.0,false,4
61,Twin Snakes,Twin Snakes,0.0,2.5,true,3
62,Arm of the Destroyer,Arm of the Destroyer,0.0,2.5,true,3
63,Fists of Fire,Fists of Fire,0.0,3.0,false,4
64,Steel Peak,Steel Peak,0.0,40.0,false,4
65,Mantra,Mantra,0.0,90.0,true,4
66,Demolish,Demolish,0.0,2.5,true,3
67,Howling Fist,Howling Fist,0.0,60.0,false,4
68,Touch of Death,Touch of Death,0.0,2.5,false,3
69,Perfect Balance,Perfect Balance,0.0,40.0,true,4
70,Rockbreaker,Rockbreaker,0.0,2.5,true,3
71,Shoulder Tackle,Shoulder Tackle,0.0,30.0,false,4
72,One Ilm Punch,One Ilm Punch,0.0,2.5,false,3
73,Fists of Wind,Fists of Wind,0.0,3.0,false,4
74,Dragon Kick,Dragon Kick,0.0,2.5,true,3
75,True Thrust,True Thrust,0.0,2.5,true,3
76,Feint,Feint,0.0,2.5,false,3
77,Keen Flurry,Keen Flurry,0.0,90.0,false,4
78,Vorpal Thrust,Vorpal Thrust,0.0,2.5,true,3
79,Heavy Thrust,Heavy Thrust,0.0,2.5,false,3
80,Invigorate,Invigorate,0.0,120.0,false,4
81,Impulse Drive,Impulse Drive,0.0,2.5,false,3
82,Leg Sweep,Leg Sweep,0.0,30.0,false,4
83,Life Surge,Life Surge,0.0,40.0,true,4
84,Full Thrust,Full Thrust,0.0,2.5,true,3
85,Lance Charge,Lance Charge,0.0,60.0,true,4
86,Doom Spike,Doom Spike,0.0,2.5,true,3
87,Disembowel,Disembowel,0.0,2.5,true,3
88,Chaos Thrust,Chaos Thrust,0.0,2.5,true,3
89,Ring of Thorns,Ring of Thorns,0.0,2.5,false,3
90,Piercing Talon,Piercing Talon,0.0,2.5,true,3
91,Phlebotomize,Phlebotomize,0.0,2.5,false,3
92,Jump,Jump,0.0,30.0,true,4
93,Power Surge,Power Surge,0.0,60.0,false,4
94,Elusive Jump,Elusive Jump,0.0,30.0,true,4
95,Spineshatter Dive,Spineshatter Dive,0.0,60.0,false,4
96,Dragonfire Dive,Dragonfire Dive,0.0,120.0,true,4
97,Heavy Shot,Heavy Shot,0.0,2.5,true,3
98,Straight Shot,Straight Shot,0.0,2.5,true,3
99,Hawk's Eye,Hawk's Eye,0.0,90.0,false,4
100,Venomous Bite,Venomous Bite,0.0,2.5,true,3
101,Raging Strikes,Raging Strikes,0.0,120.0,true,4
102,Flaming Arrow,Flaming Arrow,0.0,60.0,false,4
103,Misery's End,Misery's End,0.0,12.0,false,4
104,Quelling Strikes,Quelling Strikes,0.0,120.0,false,4
105,Swiftsong,Swiftsong,1.0,2.5,false,2
106,Quick Nock,Quick Nock,0.0,2.5,true,3
107,Barrage,Barrage,0.0,120.0,true,4
108,Shadowbind,Shadowbind,0.0,40.0,false,4
109,Blunt Arrow,Blunt Arrow,0.0,30.0,false,4
110,Bloodletter,Bloodletter,0.0,15.0,true,4
111,Wide Volley,Wide Volley,0.0,2.5,false,3
112,Repelling Shot,Repelling Shot,0.0,30.0,true,4
113,Windbite,Windbite,0.0,2.5,true,3
114,Mage's Ballad,Mage's Ballad,0.0,120.0,true,4
115,Foe Requiem,Foe Requiem,1.5,2.5,false,2
116,Army's Paeon,Army's Paeon,0.0,120.0,true,4
117,Rain of Death,Rain of Death,0.0,15.0,true,4
118,Battle Voice,Battle Voice,0.0,120.0,true,4
119,Stone,Stone,1.5,2.5,true,2
120,Cure,Cure,1.5,2.5,true,2
121,Aero,Aero,0.0,2.5,true,2
122,Cleric Stance,Cleric Stance,0.0,5.0,false,4
123,Protect,Protect,3.0,2.5,false,2
124,Medica,Medica,2.0,2.5,true,2
125,Raise,Raise,8.0,2.5,true,2
126,Esuna,Esuna,1.0,2.5,false,2
127,Stone II,Stone II,1.5,2.5,true,2
128,Repose,Repose,2.5,2.5,false,2
129,Stoneskin,Stoneskin,3.0,2.5,false,2
130,Shroud of Saints,Shroud of Saints,0.0,120.0,false,4
131,Cure III,Cure III,2.0,2.5,true,2
132,Aero II,Aero II,0.0,2.5,true,2
133,Medica II,Medica II,2.0,2.5,true,2
134,Fluid Aura,Fluid Aura,0.0,30.0,false,4
135,Cure II,Cure II,2.0,2.5,true,2
136,Presence of Mind,Presence of Mind,0.0,120.0,true,4
137,Regen,Regen,0.0,2.5,true,2
138,Divine Seal,Divine Seal,0.0,60.0,false,4
139,Holy,Holy,1.5,2.5,true,2
140,Benediction,Benediction,0.0,180.0,true,4
141,Fire,Fire,2.0,2.5,true,2
142,Blizzard,Blizzard,2.0,2.5,true,2
143,Surecast,Surecast,0.0,30.0,false,4
144,Thunder,Thunder,0.0,2.5,true,2
145,Sleep,Sleep,2.5,2.5,false,2
146,Blizzard II,Blizzard II,2.0,2.5,false,2
147,Fire II,Fire II,3.0,2.5,true,2
148,Thunder II,Thunder II,3.0,2.5,false,2
149,Transpose,Transpose,0.0,5.0,true,4
150,Swiftcast,Swiftcast,0.0,60.0,false,4
151,Lethargy,Lethargy,0.0,30.0,false,4
152,Fire III,Fire III,3.5,2.5,true,2
153,Thunder III,Thunder III,0.0,2.5,true,2
154,Blizzard III,Blizzard III,3.5,2.5,true,2
155,Aetherial Manipulation,Aetherial Manipulation,0.0,10.0,true,4
156,Scathe,Scathe,0.0,2.5,true,2
157,Manaward,Manaward,0.0,120.0,true,4
158,Manafont,Manafont,0.0,120.0,true,4
159,Freeze,Freeze,2.0,2.5,true,2
160,Apocatastasis,Apocatastasis,0.0,180.0,false,4
161,Manawall,Manawall,0.0,120.0,false,4
162,Flare,Flare,2.0,2.5,true,2
163,Ruin,Ruin,1.5,2.5,true,2
164,Bio,Bio,0.0,2.5,false,2
165,Summon,Summon,0.0,3.0,false,4
166,Aetherflow,Aetherflow,0.0,60.0,true,4
167,Energy Drain,Energy Drain,0.0,1.0,true,4
168,Miasma,Miasma,2.5,2.5,false,2
169,Virus,Virus,0.0,90.0,false,4
170,Summon II,Summon II,0.0,3.0,false,4
171,Sustain,Sustain,1.0,2.5,false,2
172,Ruin II,Ruin II,1.5,2.5,true,2
173,Resurrection,Resurrection,8.0,2.5,true,2
174,Bane,Bane,0.0,10.0,false,4
175,Eye for an Eye,Eye for an Eye,0.0,180.0,false,4
176,Rouse,Rouse,0.0,60.0,false,4
177,Miasma II,Miasma II,0.0,2.5,false,2
178,Bio II,Bio II,0.0,2.5,false,2
179,Shadow Flare,Shadow Flare,0.0,60.0,false,4
180,Summon III,Summon III,0.0,3.0,false,4
181,Fester,Fester,0.0,1.0,true,4
182,Tri-bind,Tri-bind,2.5,2.5,false,2
183,Spur,Spur,0.0,120.0,false,4
184,Enkindle,Enkindle,0.0,180.0,false,4
185,Adloquium,Adloquium,2.0,2.5,true,2
186,Succor,Succor,2.0,2.5,true,2
187,Leeches,Leeches,1.0,2.5,false,2
188,Sacred Soil,Sacred Soil,0.0,30.0,true,4
189,Lustrate,Lustrate,0.0,1.0,true,4
190,Physick,Physick,1.5,2.5,true,2
191,Stoneskin II,Stoneskin II,6.0,2.5,false,2
192,,,0.0,0.0,false,0
193,,,0.0,0.0,false,0
194,,,0.0,0.0,false,0
195,,,0.0,0.0,false,0
196,反撃効果,反撃効果,0.0,0.0,false,0
197,Shield Wall,Shield Wall,0.0,0.0,false,9
198,Stronghold,Stronghold,0.0,0.0,false,9
199,Last Bastion,Last Bastion,0.0,0.0,false,9
200,Braver,Braver,2.0,0.0,false,9
201,Bladedance,Bladedance,3.0,0.0,false,9
202,Final Heaven,Final Heaven,4.5,0.0,false,9
203,Skyshard,Skyshard,2.0,0.0,false,9
204,Starstorm,Starstorm,3.0,0.0,false,9
205,Meteor,Meteor,4.5,0.0,false,9
206,Healing Wind,Healing Wind,2.0,0.0,false,9
207,Breath of the Earth,Breath of the Earth,2.0,0.0,false,9
208,Pulse of Life,Pulse of Life,2.0,0.0,false,9
209,Limit Break,Limit Break,0.0,0.0,false,0
210,Triangulate,Triangulate,0.0,0.0,true,4
211,Arbor Call,Arbor Call,0.0,20.0,true,4
212,Stealth,Stealth,0.0,0.0,false,4
213,Preparation,Preparation,0.0,0.0,false,6
214,Toil of the Pioneer,Toil of the Pioneer,0.0,0.0,false,6
215,Ageless Words,Ageless Words,0.0,0.0,true,6
216,Brunt Force,Brunt Force,0.0,0.0,false,6
217,Nophica's Ward,Nophica's Ward,0.0,0.0,false,6
218,Field Mastery,Field Mastery,0.0,0.0,true,6
219,Byregot's Ward,Byregot's Ward,0.0,0.0,false,6
220,Field Mastery II,Field Mastery II,0.0,0.0,true,6
221,Truth of Forests,Truth of Forests,0.0,0.0,true,4
222,Blessed Harvest,Blessed Harvest,0.0,0.0,true,6
223,,,0.0,0.0,false,1
224,Blessed Harvest II,Blessed Harvest II,0.0,0.0,true,6
225,Leaf Turn,Leaf Turn,0.0,0.0,false,6
226,Leaf Turn II,Leaf Turn II,0.0,0.0,false,6
227,Prospect,Prospect,0.0,0.0,true,4
228,Lay of the Land,Lay of the Land,0.0,20.0,true,4
229,Stealth,Stealth,0.0,0.0,false,4
230,Preparation,Preparation,0.0,0.0,false,6
231,Toil of the Mountaineer,Toil of the Mountaineer,0.0,0.0,false,6
232,Solid Reason,Solid Reason,0.0,0.0,true,6
233,Deep Vigor,Deep Vigor,0.0,0.0,false,6
234,Nald'thal's Ward,Nald'thal's Ward,0.0,0.0,false,6
235,Sharp Vision,Sharp Vision,0.0,0.0,true,6
236,Menphina's Ward,Menphina's Ward,0.0,0.0,false,6
237,Sharp Vision II,Sharp Vision II,0.0,0.0,true,6
238,Truth of Mountains,Truth of Mountains,0.0,0.0,true,4
239,King's Yield,King's Yield,0.0,0.0,true,6
240,Collect,Collect,0.0,0.0,true,6
241,King's Yield II,King's Yield II,0.0,0.0,true,6
242,Unearth,Unearth,0.0,0.0,false,6
243,Unearth II,Unearth II,0.0,0.0,false,6
244,Steady Hand,Steady Hand,0.0,0.0,false,7
245,Steady Hand,Steady Hand,0.0,0.0,false,7
246,Steady Hand,Steady Hand,0.0,0.0,false,7
247,Steady Hand,Steady Hand,0.0,0.0,false,7
248,Steady Hand,Steady Hand,0.0,0.0,false,7
249,Steady Hand,Steady Hand,0.0,0.0,false,7
250,Steady Hand,Steady Hand,0.0,0.0,false,7
251,Steady Hand,Steady Hand,0.0,0.0,false,7
252,Inner Quiet,Inner Quiet,0.0,0.0,false,7
253,Inner Quiet,Inner Quiet,0.0,0.0,false,7
254,Inner Quiet,Inner Quiet,0.0,0.0,false,7
255,Inner Quiet,Inner Quiet,0.0,0.0,false,7
256,Inner Quiet,Inner Quiet,0.0,0.0,false,7
257,Inner Quiet,Inner Quiet,0.0,0.0,false,7
258,Inner Quiet,Inner Quiet,0.0,0.0,false,7
259,Inner Quiet,Inner Quiet,0.0,0.0,false,7
260,Great Strides,Great Strides,0.0,0.0,true,7
261,Great Strides,Great Strides,0.0,0.0,true,7
262,Great Strides,Great Strides,0.0,0.0,true,7
263,Great Strides,Great Strides,0.0,0.0,true,7
264,Great Strides,Great Strides,0.0,0.0,true,7
265,Great Strides,Great Strides,0.0,0.0,true,7
266,Great Strides,Great Strides,0.0,0.0,true,7
267,Great Strides,Great Strides,0.0,0.0,true,7
268,Mooch II,Mooch II,0.0,180.0,true,6
269,Double Hook,Double Hook,0.0,0.0,true,6
270,Unearth III,Unearth III,0.0,0.0,false,6
271,Leaf Turn III,Leaf Turn III,0.0,0.0,false,6
272,Bountiful Yield II,Bountiful Yield II,0.0,0.0,true,6
273,Bountiful Harvest II,Bountiful Harvest II,0.0,0.0,true,6
274,Nald'thal's Counsel,Nald'thal's Counsel,0.0,0.0,false,6
275,Nophica's Counsel,Nophica's Counsel,0.0,0.0,false,6
276,Rumination,Rumination,0.0,0.0,false,7
277,Ingenuity,Ingenuity,0.0,0.0,false,7
278,Manipulation,Manipulation,0.0,0.0,false,7
279,Waste Not,Waste Not,0.0,0.0,false,7
280,the Twelve's Bounty,the Twelve's Bounty,0.0,0.0,true,6
281,Steady Hand II,Steady Hand II,0.0,0.0,false,7
282,the Twelve's Bounty,the Twelve's Bounty,0.0,0.0,true,6
283,Ingenuity II,Ingenuity II,0.0,0.0,false,7
284,Innovation,Innovation,0.0,0.0,false,7
285,Waste Not II,Waste Not II,0.0,0.0,false,7
286,Comfort Zone,Comfort Zone,0.0,0.0,false,7
287,Reclaim,Reclaim,0.0,0.0,false,7
288,Bait,Bait,0.0,0.0,true,6
289,Cast,Cast,0.0,0.0,true,6
290,Arbor Call II,Arbor Call II,0.0,20.0,true,4
291,Lay of the Land II,Lay of the Land II,0.0,20.0,true,4
292,Llymlaen's Ward,Llymlaen's Ward,0.0,0.0,false,6
293,Thaliak's Ward,Thaliak's Ward,0.0,0.0,false,6
294,Field Mastery III,Field Mastery III,0.0,0.0,true,6
295,Sharp Vision III,Sharp Vision III,0.0,0.0,true,6
296,Hook,Hook,0.0,0.0,true,6
297,Mooch,Mooch,0.0,0.0,true,6
298,Stealth,Stealth,0.0,0.0,false,4
299,Quit,Quit,0.0,0.0,true,6
300,Release,Release,0.0,0.0,true,6
301,Impulsive Appraisal II,Impulsive Appraisal II,0.0,0.0,false,6
302,Impulsive Appraisal II,Impulsive Appraisal II,0.0,0.0,false,6
303,Sneak,Sneak,0.0,0.0,true,4
304,Sneak,Sneak,0.0,0.0,true,4
305,Sneak,Sneak,0.0,0.0,true,4
306,,,2.5,0.0,false,8
307,Silence,Silence,2.5,30.0,false,2
308,Paralyze,Paralyze,4.0,30.0,false,2
309,Haste,Haste,2.5,30.0,false,2
310,Slow,Slow,4.0,30.0,false,2
311,Blaze Spikes,Blaze Spikes,1.5,30.0,false,2
312,Ice Spikes,Ice Spikes,1.5,30.0,false,2
313,Shock Spikes,Shock Spikes,1.5,30.0,false,2
314,物理ストンスキン,物理ストンスキン,2.5,30.0,false,2
315,魔法ストンスキン,魔法ストンスキン,2.5,30.0,false,2
316,Stoneskin,Stoneskin,2.5,30.0,false,2
317,Foul Breath,Foul Breath,2.5,6.0,false,3
318,Frost Breath,Frost Breath,2.5,6.0,false,3
319,Hoofkick,Hoofkick,0.0,6.0,false,3
320,Stampede,Stampede,0.0,6.0,false,3
321,Big Horn,Big Horn,0.0,6.0,false,3
322,Stone Throw,Stone Throw,0.0,3.0,false,3
323,Soil Smear,Soil Smear,0.0,6.0,false,3
324,Greedy Grab,Greedy Grab,0.0,6.0,false,3
325,Thunderstrike,Thunderstrike,2.5,6.0,false,3
326,Thunderstorm,Thunderstorm,2.5,6.0,false,3
327,Sticky Web,Sticky Web,0.0,6.0,false,3
328,Caustic Spray,Caustic Spray,0.0,6.0,false,3
329,Deadly Thrust,Deadly Thrust,0.0,6.0,false,3
330,Deadly Thrust,Deadly Thrust,0.0,6.0,false,3
331,Wing Cutter,Wing Cutter,2.5,6.0,false,3
332,Bloodcurdling Caw,Bloodcurdling Caw,0.0,6.0,false,3
333,Yolk Shower,Yolk Shower,0.0,6.0,false,3
334,Reckless Charge,Reckless Charge,2.5,6.0,false,3
335,Bristle,Bristle,0.0,6.0,false,4
336,Bellowing Grunt,Bellowing Grunt,3.0,15.0,false,3
337,Self-destruct,Self-destruct,3.0,6.0,false,3
338,Combustion,Combustion,0.0,6.0,false,4
339,Deflagration,Deflagration,0.0,6.0,false,3
340,Mortify,Mortify,0.0,6.0,false,3
341,Hell Slash,Hell Slash,0.0,6.0,false,3
342,Soul Drain,Soul Drain,0.0,6.0,false,3
343,Doomsay,Doomsay,3.5,6.0,false,3
344,Seedvolley,Seedvolley,0.0,3.0,false,3
345,Sour Sough,Sour Sough,2.5,6.0,false,3
346,Swift Sough,Swift Sough,2.5,6.0,false,3
347,Sticky Tongue,Sticky Tongue,0.0,6.0,false,3
348,Toad Oil,Toad Oil,0.0,6.0,false,4
349,Languid Lap,Languid Lap,0.0,6.0,false,3
350,Microblaster,Microblaster,0.0,6.0,false,3
351,Charged Whisker,Charged Whisker,3.0,6.0,false,3
352,Chaotic Eye,Chaotic Eye,2.0,6.0,false,3
353,Blaster,Blaster,0.0,6.0,false,3
354,Curiosity,Curiosity,0.0,6.0,false,3
355,Megablaster,Megablaster,2.5,6.0,false,3
356,Iron Justice,Iron Justice,2.5,6.0,false,3
357,King's Will,King's Will,2.5,6.0,false,4
358,Blade of Suffering,Blade of Suffering,0.0,6.0,false,4
359,Blade of Absolution,Blade of Absolution,0.0,6.0,false,4
360,Blade of Repentance,Blade of Repentance,0.0,6.0,false,4
361,Flat Blade,Flat Blade,0.0,6.0,false,3
362,Mind Blast,Mind Blast,3.0,6.0,false,3
363,Drain Touch,Drain Touch,0.0,20.0,false,3
364,Acid Mist,Acid Mist,0.0,6.0,false,3
365,Acid Mist,Acid Mist,0.0,6.0,false,3
366,Acid Mist,Acid Mist,0.0,6.0,false,3
367,Acid Mist,Acid Mist,0.0,6.0,false,3
368,Mudslinger,Mudslinger,0.0,6.0,false,3
369,Stone Throw,Stone Throw,0.0,6.0,false,3
370,Bombardier,Bombardier,0.0,6.0,false,3
371,Infestation,Infestation,0.0,6.0,false,3
372,Spoil,Spoil,0.0,6.0,false,3
373,Somersault Slash,Somersault Slash,0.0,6.0,false,3
374,Nutshell,Nutshell,2.5,6.0,false,4
375,Nutshell,Nutshell,2.5,6.0,false,4
376,Nutshell,Nutshell,2.5,6.0,false,4
377,Scamper,Scamper,2.5,6.0,false,4
378,Blood Drain,Blood Drain,0.0,6.0,false,3
379,Ultrasonics,Ultrasonics,0.0,6.0,false,3
380,Ultrasonics,Ultrasonics,0.0,6.0,false,3
381,Aqueous Discharge,Aqueous Discharge,2.5,6.0,false,3
382,Viscous Discharge,Viscous Discharge,0.0,6.0,false,3
383,Mucous Discharge,Mucous Discharge,0.0,6.0,false,3
384,Agitation,Agitation,0.0,6.0,false,1
385,Agitation,Agitation,0.0,6.0,false,1
386,Agitation,Agitation,0.0,6.0,false,1
387,Snap Jaw,Snap Jaw,0.0,6.0,false,3
388,Corrosive Spit,Corrosive Spit,0.0,6.0,false,3
389,Corrosive Spit,Corrosive Spit,0.0,6.0,false,3
390,Proboscis,Proboscis,0.0,6.0,false,3
391,Blood Drain,Blood Drain,0.0,6.0,false,3
392,Blood Drain,Blood Drain,0.0,6.0,false,3
393,Blinding Burst,Blinding Burst,0.0,6.0,false,3
394,Lulling Light,Lulling Light,0.0,6.0,false,3
395,Limbs of Lead,Limbs of Lead,0.0,6.0,false,3
396,Hypha Whip,Hypha Whip,2.5,6.0,false,3
397,Queasy Cloud,Queasy Cloud,0.0,6.0,false,3
398,Slumber Cloud,Slumber Cloud,0.0,6.0,false,3
399,Romp,Romp,2.5,6.0,false,3
400,Jittering Jig,Jittering Jig,2.5,6.0,false,4
401,Frenetic Flurry,Frenetic Flurry,0.0,6.0,false,3
402,Haste,Haste,2.5,6.0,false,4
403,Fortis,Fortis,2.5,6.0,false,4
404,Celeris,Celeris,2.5,6.0,false,4
405,Bomb Toss,Bomb Toss,2.5,6.0,false,3
406,Bomb Toss,Bomb Toss,2.5,6.0,false,3
407,Firecracker Shower,Firecracker Shower,3.0,15.0,false,3
408,Wild Rattle,Wild Rattle,0.0,6.0,false,3
409,Dripping Fang,Dripping Fang,0.0,6.0,false,3
410,Stone Gaze,Stone Gaze,3.5,30.0,false,3
411,Backflip,Backflip,2.5,6.0,false,3
412,Tail Chase,Tail Chase,2.5,6.0,false,3
413,Fireball,Fireball,2.5,6.0,false,3
414,Bombination,Bombination,4.0,6.0,false,3
415,Whipcrack,Whipcrack,2.5,6.0,false,3
416,Golden Tongue,Golden Tongue,2.5,6.0,false,4
417,Tortoise Stomp,Tortoise Stomp,4.0,6.0,false,3
418,Harden Shell,Harden Shell,0.0,6.0,false,4
419,Lateral Slash,Lateral Slash,0.0,6.0,false,3
420,Whetstone,Whetstone,0.0,60.0,false,4
421,Smite of Rage,Smite of Rage,0.0,20.0,false,4
422,Grand Slam,Grand Slam,2.5,6.0,false,3
423,Coming Storm,Coming Storm,2.5,6.0,false,4
424,Swift Gust,Swift Gust,0.0,6.0,false,4
425,Reflect,Reflect,2.0,60.0,false,2
426,Enfire,Enfire,1.5,30.0,false,2
427,Enblizzard,Enblizzard,1.5,30.0,false,2
428,Enaero,Enaero,1.5,30.0,false,2
429,Enstone,Enstone,1.5,30.0,false,2
430,Enthunder,Enthunder,1.5,30.0,false,2
431,Enwater,Enwater,1.5,30.0,false,2
432,Drain,Drain,2.5,3.0,false,2
433,,,0.0,0.0,false,0
434,,,0.0,0.0,false,0
435,,,0.0,0.0,false,0
436,,,0.0,0.0,false,0
437,,,0.0,0.0,false,0
438,,,0.0,0.0,false,0
439,,,0.0,0.0,false,0
440,Canopy,Canopy,2.5,6.0,false,3
441,Arboreal Storm,Arboreal Storm,4.0,6.0,false,3
442,Acorn Bomb,Acorn Bomb,4.0,6.0,false,3
443,Stone Skull,Stone Skull,0.0,6.0,false,3
444,Boulder Clap,Boulder Clap,3.0,6.0,false,3
445,True Grit,True Grit,4.0,6.0,false,3
446,the Dragon's Breath,the Dragon's Breath,3.0,6.0,false,3
447,登場,登場,0.0,0.0,false,3
448,Stagnant Spray,Stagnant Spray,2.5,6.0,false,3
449,Eerie Light,Eerie Light,0.0,6.0,false,3
450,Peculiar Light,Peculiar Light,0.0,6.0,false,3
451,攻撃,攻撃,0.0,0.0,false,1
452,Sear,Sear,0.0,0.0,false,3
453,Incinerate,Incinerate,0.0,0.0,false,3
454,Vulcan Burst,Vulcan Burst,0.0,0.0,false,3
455,Eruption,Eruption,2.2,0.0,false,3
456,Radiant Plume,Radiant Plume,2.2,0.0,false,3
457,Crimson Cyclone,Crimson Cyclone,3.0,0.0,false,3
458,Hellfire,Hellfire,2.0,0.0,false,3
459,イフリート：ジャンプ,イフリート：ジャンプ,0.0,0.0,false,0
460,イフリート：着地,イフリート：着地,0.0,0.0,false,0
461,イフリート：炎獄の楔召喚,イフリート：炎獄の楔召喚,0.0,0.0,false,0
462,イフリート：角復活,イフリート：角復活,0.0,0.0,false,4
463,イフリート：怒りオン,イフリート：怒りオン,0.0,0.0,false,0
464,炎獄の楔：出現,炎獄の楔：出現,0.0,0.0,false,0
465,炎獄の楔：死亡,炎獄の楔：死亡,0.0,0.0,false,0
466,,,0.0,0.0,false,0
467,,,0.0,0.0,false,0
468,,,0.0,0.0,false,0
469,,,0.0,0.0,false,0
470,,,0.0,0.0,false,0
471,,,0.0,0.0,false,0
472,,,0.0,0.0,false,0
473,,,0.0,0.0,false,0
474,Barbaric Surge,Barbaric Surge,2.5,6.0,false,4
475,Triple Threat,Triple Threat,0.0,6.0,false,3
476,Footwork,Footwork,2.5,6.0,false,4
477,Gut Rip,Gut Rip,0.0,60.0,false,4
478,Backhand Blow,Backhand Blow,0.0,6.0,false,3
479,Rise and Fall,Rise and Fall,0.0,6.0,false,3
480,Photosynthesis,Photosynthesis,0.0,0.0,false,0
481,Photorespiration,Photorespiration,0.0,0.0,false,0
482,Plaincracker,Plaincracker,3.5,6.0,false,3
483,Rockslide,Rockslide,2.5,6.0,false,3
484,Calcify,Calcify,0.0,0.0,false,0
485,汎用：詩人技：回避アップ歌,汎用：詩人技：回避アップ歌,3.0,6.0,false,2
486,汎用：詩人技：攻撃アップ歌,汎用：詩人技：攻撃アップ歌,3.0,6.0,false,2
487,汎用：詩人技：防御アップ歌,汎用：詩人技：防御アップ歌,3.0,6.0,false,2
488,Cold Caress,Cold Caress,0.0,30.0,false,3
489,Sweet Steel,Sweet Steel,0.0,6.0,false,3
490,Devastate,Devastate,2.5,6.0,false,3
491,Infuriate,Infuriate,0.0,6.0,false,4
492,Piercing Arrow,Piercing Arrow,0.0,0.0,false,0
493,汎用：巴術技：単体スロウ,汎用：巴術技：単体スロウ,0.0,6.0,false,3
494,汎用：巴術技：単体防御DOWN,汎用：巴術技：単体防御DOWN,0.0,6.0,false,3
495,Faze,Faze,3.0,30.0,false,3
496,Sandslinger,Sandslinger,0.0,6.0,false,3
497,Body Slam,Body Slam,2.5,6.0,false,3
498,Cold Gaze,Cold Gaze,4.0,30.0,false,3
499,Stone Gaze,Stone Gaze,4.0,30.0,false,3
500,Run Amok,Run Amok,0.0,6.0,false,4
501,50 Needles,50 Needles,2.5,6.0,false,3
502,100 Needles,100 Needles,2.5,6.0,false,3
503,1000 Needles,1000 Needles,2.5,6.0,false,3
504,Hammer Beak,Hammer Beak,0.0,6.0,false,3
505,Petribreath,Petribreath,3.0,30.0,false,3
506,Numbing Breath,Numbing Breath,3.0,30.0,false,3
